time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/loss
507904,468.78471062999995,1060,801.22,479,62,-0.03521622557746014,610,0.2,0.20089111328125,0.8785547018051147,0.0003,6.450348275899887,0.016975837,1.0493541955947876,-17.587637341022493,2.3985395431518555
516096,465.53582909,1073,788.4,480,63,-0.02865603304526303,620,0.2,0.13037109375,0.8730817437171936,0.0003,17.221401484310626,0.011235175,1.0506459474563599,-17.602881968021393,7.483865261077881
524288,462.36979938999997,1085,778.25,482,64,-0.03263818896375596,630,0.2,0.171630859375,0.8503459095954895,0.0003,17.877406832575797,0.013637006,1.0500352382659912,-17.603147995471954,4.791509628295898
532480,479.42394929999995,1099,799.71,484,65,-0.038114398301695475,640,0.2,0.19715576171875,0.8504626750946045,0.0003,8.644127644598484,0.016965747,1.0529495477676392,-17.623014652729033,3.6968040466308594
540672,491.0768776,1111,812.07,486,66,-0.04029830882936949,650,0.2,0.27393798828125,0.868405282497406,0.0003,6.927537231892347,0.0252231,1.050884485244751,-17.61637641787529,2.501425266265869
548864,501.3685324100001,1125,824.3,487,67,-0.038854671071021585,660,0.2,0.4048828125,0.7890073657035828,0.0003,4.178032525628805,0.042438045,1.0523537397384644,-17.62510386109352,1.2856396436691284
557056,509.2956644200001,1138,832.4,489,68,-0.042370271524123385,670,0.2,0.29111328125,0.8420607447624207,0.0003,4.401787416636944,0.029242415,1.0509105920791626,-17.613434541225434,2.1694912910461426
565248,523.67290076,1151,848.71,490,69,-0.04115444698400097,680,0.2,0.3514892578125,0.5976077914237976,0.0003,5.27438537478447,0.0333658,1.050094723701477,-17.60144109129906,1.746790885925293
573440,519.93458853,1164,837.31,492,70,-0.0440906738229387,690,0.2,0.3568115234375,0.7318607568740845,0.0003,3.7505274318158626,0.032751538,1.0545114278793335,-17.63769029378891,1.4230965375900269
581632,531.40013544,1177,849.6,493,71,-0.030202065944467903,700,0.2,0.18812255859375,0.8587912917137146,0.0003,8.110745634883642,0.014697152,1.0551873445510864,-17.659324556589127,2.003988027572632
589824,544.12929508,1190,860.52,495,72,-0.054127441163291226,710,0.2,0.4209228515625,0.3155851364135742,0.0003,3.0362117193639278,0.04251486,1.0563231706619263,-17.666166746616362,1.1957676410675049
598016,557.5862891200001,1203,877.61,496,73,-0.029095061621046626,720,0.2,0.14813232421875,0.897914707660675,0.0003,8.830947993695736,0.011452323,1.0583795309066772,-17.68451902270317,3.5392844676971436
606208,568.81423438,1216,889.66,498,74,-0.040530254371697085,730,0.2,0.2486083984375,0.8717106580734253,0.0003,5.4094609200954435,0.022285448,1.0589261054992676,-17.69789634346962,1.7690997123718262
614400,568.04883124,1229,880.53,499,75,-0.02916133065446047,740,0.2,0.160302734375,0.8926740884780884,0.0003,12.29061550348997,0.011653481,1.061541199684143,-17.71877180337906,5.623444557189941
