time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance
203,811.51,541.6122233199999,3219,655360,80,-0.04584260804113001,-17.96133314371109,0.47408447265625,0.05126703,3.958358334004879,2.0418992042541504,1.0843697786331177,790,0.0003,0.2,0.31016236543655396
205,789.84,528.1619148599999,3233,663552,81,-0.032304692060279194,-17.99939110279083,0.17935791015625,0.014112489,11.581674440205097,2.969057321548462,1.0874543190002441,800,0.0003,0.2,0.8398787975311279
206,778.34,521.6333072900001,3246,671744,82,-0.033338111139892136,-18.024965685606002,0.16436767578125,0.013613675,10.635048851370811,3.794478416442871,1.0896599292755127,810,0.0003,0.2,0.9056007266044617
208,805.8,544.3219047899998,3260,679936,83,-0.03151668020582292,-18.05329982638359,0.14625244140625,0.01240735,20.055073815584183,11.513985633850098,1.0929063558578491,820,0.0003,0.2,0.903399646282196
210,789.43,534.58107479,3273,688128,84,-0.03630744390393374,-18.08915818929672,0.2064697265625,0.016958741,12.241246694326401,6.515987873077393,1.094563603401184,830,0.0003,0.2,0.8532880544662476
211,763.92,516.6078855999999,3287,696320,85,-0.03336985431378707,-18.107426482439042,0.18603515625,0.015417562,16.189575837552546,4.124448776245117,1.0967744588851929,840,0.0003,0.2,0.8875203728675842
213,747.72,506.58181215,3301,704512,86,-0.03581803575361846,-18.11948555111885,0.18333740234375,0.015204287,16.389946740865707,5.329005718231201,1.0973988771438599,850,0.0003,0.2,0.9029197096824646
213,758.28,515.8231807799999,3333,712704,87,-0.04071858048409922,-18.139009100198745,0.2627685546875,0.023680398,8.140999456495047,3.223804235458374,1.0997480154037476,860,0.0003,0.2,0.923613965511322
214,754.73,515.79525274,3363,720896,88,-0.038175774140108844,-18.160687345266343,0.23912353515625,0.021539357,12.65146787762642,8.086376190185547,1.1012520790100098,870,0.0003,0.2,0.8637080192565918
214,741.98,507.43590093,3394,729088,89,-0.038763560632651205,-18.18979954123497,0.3425048828125,0.03572055,7.399026354402304,2.2112650871276855,1.1049739122390747,880,0.0003,0.2,0.8177549839019775
215,773.32,531.25478904,3428,737280,90,-0.03633735917537706,-18.220265609025954,0.1900390625,0.014925849,17.639982035756113,9.729537010192871,1.1083914041519165,890,0.0003,0.2,0.8989893198013306
215,774.42,533.52685578,3462,745472,91,-0.04126452942873584,-18.25121307373047,0.2997802734375,0.028453872,10.074450688064099,4.209502696990967,1.1102354526519775,900,0.0003,0.2,0.8286449313163757
215,790.11,546.5327613799999,3494,753664,92,-0.03536046529188752,-18.289561247825624,0.26832275390625,0.022932792,8.915651666373014,2.631697177886963,1.1141645908355713,910,0.0003,0.2,0.8934648633003235
216,778.26,539.36915082,3522,761856,93,-0.03477675899448514,-18.3211456656456,0.2437744140625,0.0195036,11.702862514555454,3.9257631301879883,1.116515874862671,920,0.0003,0.2,0.8842392563819885
