time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/n_updates,train/std,train/value_loss,train/loss,train/approx_kl,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range
606,1040384,776.62,1714,601.2721131,127,0.8610525727272034,1260,1.1950891017913818,13.568983706831933,9.321516036987305,0.023270156,0.0003,-19.136226969957352,-0.03643909476450062,0.26888427734375,0.2
608,1048576,765.64,1724,593.16115074,128,0.7195602655410767,1270,1.19999361038208,10.06341525092721,4.479216575622559,0.03677997,0.0003,-19.16805494427681,-0.032589641680533535,0.39803466796875,0.2
609,1056768,762.13,1734,589.75920457,129,0.851375937461853,1280,1.2036936283111572,17.926476368308066,14.129868507385254,0.018225722,0.0003,-19.20902112722397,-0.03370199264390976,0.21385498046875,0.2
610,1064960,768.52,1744,595.09649542,130,0.8826096653938293,1290,1.2057499885559082,17.979632207751273,7.925233840942383,0.015907343,0.0003,-19.237667506933214,-0.035720411168586,0.19097900390625,0.2
611,1073152,778.79,1754,603.23569413,131,0.832633376121521,1300,1.2091425657272339,17.37656783014536,5.197551727294922,0.023701431,0.0003,-19.27160050868988,-0.03169645106318057,0.27982177734375,0.2
612,1081344,790.92,1765,613.3642965900001,132,0.8362248539924622,1310,1.215773582458496,9.748361697793007,4.755165100097656,0.040756524,0.0003,-19.315574288368225,-0.03024258096338599,0.4032470703125,0.2
613,1089536,798.82,1774,619.1800191399999,133,0.9062557220458984,1320,1.2176505327224731,14.151362577080727,4.301364898681641,0.022529125,0.0003,-19.361137902736665,-0.032828825402975784,0.24683837890625,0.2
615,1097728,817.27,1784,634.7212548400001,134,0.875420093536377,1330,1.2201294898986816,13.054714985191822,6.52890157699585,0.021438781,0.0003,-19.380359089374544,-0.033545277396115125,0.24425048828125,0.2
616,1105920,830.11,1794,646.74278295,135,0.8641847372055054,1340,1.2231172323226929,23.979206198453902,13.99221134185791,0.017067865,0.0003,-19.40057816505432,-0.03234369913916453,0.2162109375,0.2
617,1114112,837.29,1804,652.1132038,136,0.8941210508346558,1350,1.228101372718811,10.320368903875352,3.6089253425598145,0.031141736,0.0003,-19.4417955160141,-0.03145148015464656,0.33701171875,0.2
618,1122304,827.16,1814,642.95748393,137,0.7159048318862915,1360,1.2365611791610718,13.83217436671257,10.120997428894043,0.028013483,0.0003,-19.520135670900345,-0.03493237405564287,0.30003662109375,0.2
619,1130496,831.2,1824,645.93930501,138,0.8565568327903748,1370,1.2397406101226807,15.266180381923913,3.2250618934631348,0.025418082,0.0003,-19.564207834005355,-0.033558131149038675,0.28336181640625,0.2
620,1138688,826.77,1834,643.1687555,139,0.8725481629371643,1380,1.243996500968933,8.501735769212246,1.6449247598648071,0.037219997,0.0003,-19.60359334349632,-0.03755145960822119,0.32569580078125,0.2
621,1146880,808.61,1845,628.35286297,140,0.8930714726448059,1390,1.2457209825515747,7.264163090288639,3.2391324043273926,0.037560053,0.0003,-19.63456487059593,-0.03322020286723273,0.3220703125,0.2
622,1155072,810.86,1854,630.69538319,141,0.9292998313903809,1400,1.2498087882995605,12.255940382182597,4.901275634765625,0.023558347,0.0003,-19.66520193219185,-0.0372486134947394,0.26865234375,0.2
623,1163264,819.56,1865,637.93072024,142,0.8593316078186035,1410,1.2569330930709839,13.960060165077447,3.31254506111145,0.0369094,0.0003,-19.710202407836913,-0.032479476159642216,0.3677734375,0.2
